text,class
Meeting has been postponed to 3 PM.,ham
You have been selected for a free vacation. Call now!,spam
Lowest insurance rates available. Call us today!,spam
Earn money from home with no investment required.,spam
Congratulations! You have won a 5000 gift card. Click here to claim now.,spam
Exclusive offer! Buy 1 get 1 free. Limited time deal.,spam
Please review the attached file and let me know.,ham
Important notification about your bank account. Verify immediately.,spam
Win cash prizes up to 1000. Text YES to participate.,spam
Please review the attached file and let me know.,ham
Important notification about your bank account. Verify immediately.,spam
Congratulations! You have won a 1000 gift card. Click here to claim now.,spam
Let's go for a movie tonight.,ham
Important notification about your bank account. Verify immediately.,spam
Congratulations! You have won a 5000 gift card. Click here to claim now.,spam
Did you complete the assignment?,ham
Don't forget to bring the documents tomorrow.,ham
Congratulations! You have won a 5000 gift card. Click here to claim now.,spam
Let's catch up this weekend.,ham
Earn money from home with no investment required.,spam
Claim your free reward now. Reply immediately!,spam
Exclusive offer! Buy 1 get 1 free. Limited time deal.,spam
Earn money from home with no investment required.,spam
Win cash prizes up to 1000. Text YES to participate.,spam
Thank you for your help yesterday.,ham
I will send you the report by evening.,ham
,spam
Please review the attached file and let me know.,ham
Please review the attached file and let me know.,ham
Happy birthday! Have a wonderful day!,ham
Cheap meds available without prescription. Order today!,spam
"Hey, are we still meeting for dinner tonight?",ham
See you at the gym tomorrow morning.,ham
Cheap meds available without prescription. Order today!,spam
Thank you for your help yesterday.,ham
Important notification about your bank account. Verify immediately.,spam
Can you call me when you reach home?,ham
You have been selected for a free vacation. Call now!,spam
See you at the gym tomorrow morning.,ham
   MEETING HAS BEEN POSTPONED TO 3 PM.   ,ham
Let's catch up this weekend.,ham
Please review the attached file and let me know.,ham
Claim your free reward now. Reply immediately!,spam
Happy birthday! Have a wonderful day!,ham
See you at the gym tomorrow morning.,ham
   IMPORTANT NOTIFICATION ABOUT YOUR BANK ACCOUNT. VERIFY IMMEDIATELY.   ,spam
Win cash prizes up to 5000. Text YES to participate.,spam
Are you coming to the party?,ham
You have been selected for a free vacation. Call now!,spam
Lowest insurance rates available. Call us today!,spam
Congratulations! You have won a 5000 gift card. Click here to claim now.,spam
   CAN WE RESCHEDULE OUR APPOINTMENT?   ,ham
Lowest insurance rates available. Call us today!,spam
Can you call me when you reach home?,ham
Can we reschedule our appointment?,ham
Important notification about your bank account. Verify immediately.,spam
Don't forget to bring the documents tomorrow.,ham
You have been selected for a free vacation. Call now!,spam
Win cash prizes up to 5000. Text YES to participate.,spam
Earn money from home with no investment required.,spam
"   HEY, ARE WE STILL MEETING FOR DINNER TONIGHT?   ",ham
Are you coming to the party?,ham
Let's go for a movie tonight.,ham
Can you call me when you reach home?,ham
You have been selected for a free vacation. Call now!,spam
See you at the gym tomorrow morning.,ham
Don't forget to bring the documents tomorrow.,ham
Congratulations! You have won a 5000 gift card. Click here to claim now.,spam
You have been selected for a free vacation. Call now!,spam
You have been selected for a free vacation. Call now!,spam
Win cash prizes up to 1000. Text YES to participate.,spam
Important notification about your bank account. Verify immediately.,spam
Congratulations! You have won a 1000 gift card. Click here to claim now.,spam
URGENT! Your mobile number has won 10000. Reply WIN to claim.,spam
Thank you for your help yesterday.,ham
Win cash prizes up to 5000. Text YES to participate.,spam
Happy birthday! Have a wonderful day!,ham
"Hey, are we still meeting for dinner tonight?",ham
Exclusive offer! Buy 1 get 1 free. Limited time deal.,spam
Win cash prizes up to 5000. Text YES to participate.,spam
Claim your free reward now. Reply immediately!,spam
   CONGRATULATIONS! YOU HAVE WON A 1000 GIFT CARD. CLICK HERE TO CLAIM NOW.   ,spam
Important notification about your bank account. Verify immediately.,spam
Don't forget to bring the documents tomorrow.,ham
Win cash prizes up to 1000. Text YES to participate.,spam
Exclusive offer! Buy 1 get 1 free. Limited time deal.,spam
URGENT! Your mobile number has won 2000. Reply WIN to claim.,spam
Cheap meds available without prescription. Order today!,spam
   MEETING HAS BEEN POSTPONED TO 3 PM.   ,ham
Lowest insurance rates available. Call us today!,spam
Let's catch up this weekend.,ham
Happy birthday! Have a wonderful day!,ham
Meeting has been postponed to 3 PM.,ham
Earn money from home with no investment required.,spam
   I WILL SEND YOU THE REPORT BY EVENING.   ,ham
I will send you the report by evening.,ham
URGENT! Your mobile number has won 10000. Reply WIN to claim.,spam
Happy birthday! Have a wonderful day!,ham
Did you complete the assignment?,ham
Cheap meds available without prescription. Order today!,spam
Can you call me when you reach home?,ham
See you at the gym tomorrow morning.,ham
Can we reschedule our appointment?,ham
Earn money from home with no investment required.,spam
Let's catch up this weekend.,ham
I will send you the report by evening.,ham
Important notification about your bank account. Verify immediately.,spam
Please review the attached file and let me know.,ham
Congratulations! You have won a 1000 gift card. Click here to claim now.,spam
,ham
Call me when you are free.,ham
Exclusive offer! Buy 1 get 1 free. Limited time deal.,spam
Please review the attached file and let me know.,ham
"Hey, are we still meeting for dinner tonight?",ham
Meeting has been postponed to 3 PM.,ham
Claim your free reward now. Reply immediately!,spam
Meeting has been postponed to 3 PM.,ham
Can you call me when you reach home?,ham
   ARE YOU COMING TO THE PARTY?   ,ham
Exclusive offer! Buy 1 get 1 free. Limited time deal.,spam
Lowest insurance rates available. Call us today!,spam
Don't forget to bring the documents tomorrow.,ham
Claim your free reward now. Reply immediately!,spam
Let's go for a movie tonight.,ham
   CLAIM YOUR FREE REWARD NOW. REPLY IMMEDIATELY!   ,spam
I will send you the report by evening.,ham
Win cash prizes up to 5000. Text YES to participate.,spam
Thank you for your help yesterday.,ham
Cheap meds available without prescription. Order today!,spam
Let's go for a movie tonight.,ham
Lowest insurance rates available. Call us today!,spam
I will send you the report by evening.,ham
Can you call me when you reach home?,ham
Meeting has been postponed to 3 PM.,ham
Let's catch up this weekend.,ham
Claim your free reward now. Reply immediately!,spam
